date,open,high,low,close,volume,daily_return
2023-10-03 05:30:00,1530.25,1564.2,1527.0,1561.05,1083086,
2023-10-04 05:30:00,1555.0,1555.85,1521.15,1532.55,1614123,-0.018256942442586688
2023-10-05 05:30:00,1540.0,1556.0,1532.3,1542.55,1153064,0.006525072591432535
2023-10-06 05:30:00,1559.35,1640.7,1551.05,1634.65,7384628,0.05970633042689055
2023-10-09 05:30:00,1617.15,1628.0,1606.6,1621.55,1712235,-0.008013947939926047
2023-10-10 05:30:00,1630.0,1643.95,1617.0,1633.1,1453653,0.007122814590977633
2023-10-11 05:30:00,1641.4,1650.95,1633.5,1636.55,952433,0.002112546690343553
2023-10-12 05:30:00,1637.0,1642.95,1622.85,1634.8,1052767,-0.0010693226604747696
2023-10-13 05:30:00,1631.0,1649.0,1620.0,1646.55,1212989,0.007187423538047577
2023-10-16 05:30:00,1644.0,1649.4,1630.4,1642.35,859548,-0.0025507880112963788
2023-10-17 05:30:00,1649.9,1676.75,1645.55,1657.65,1689224,0.009315919262033123
2023-10-18 05:30:00,1665.0,1665.0,1622.05,1628.2,1230439,-0.017766114680421108
2023-10-19 05:30:00,1625.0,1642.95,1597.4,1634.75,1429935,0.004022847316054401
2023-10-20 05:30:00,1627.8,1639.75,1615.0,1635.05,1191783,0.0001835142988224625
2023-10-23 05:30:00,1627.0,1651.7,1605.5,1613.15,1093182,-0.013394085807773348
2023-10-25 05:30:00,1612.9,1630.0,1598.85,1611.45,1490405,-0.0010538387626692902
2023-10-26 05:30:00,1590.0,1608.4,1552.0,1560.0,1780025,-0.03192776691799315
2023-10-27 05:30:00,1575.6,1593.25,1551.35,1566.4,2003579,0.004102564102564266
2023-10-30 05:30:00,1568.9,1571.1,1528.0,1561.1,850025,-0.0033835546475997624
2023-10-31 05:30:00,1552.4,1581.45,1552.4,1569.55,1592788,0.005412849913522644
2023-11-01 05:30:00,1574.9,1580.0,1565.0,1572.85,770557,0.0021025134592718153
2023-11-02 05:30:00,1587.7,1592.6,1566.1,1575.6,1020303,0.0017484184760148125
