date,open,high,low,close,volume,daily_return
2023-10-03 05:30:00,198.75,200.0,196.9,199.55,10830728,
2023-10-04 05:30:00,198.9,199.4,195.4,199.0,14120040,-0.0027562014532699353
2023-10-05 05:30:00,199.5,199.5,195.35,196.6,14575590,-0.012060301507537674
2023-10-06 05:30:00,197.0,197.45,194.85,197.05,12857229,0.002288911495422319
2023-10-09 05:30:00,196.5,196.9,193.75,196.25,7853369,-0.004059883278355825
2023-10-10 05:30:00,196.25,198.55,195.7,197.95,7440527,0.00866242038216547
2023-10-11 05:30:00,197.35,199.15,197.35,198.5,10031916,0.002778479413993562
2023-10-12 05:30:00,197.35,202.0,197.35,200.75,21872719,0.01133501259445846
2023-10-13 05:30:00,200.45,202.4,199.3,201.8,13105921,0.00523038605230397
2023-10-16 05:30:00,200.3,203.85,200.1,203.05,18336656,0.006194251734390477
2023-10-17 05:30:00,203.55,209.0,202.6,207.15,19378328,0.020192070918492844
2023-10-18 05:30:00,208.45,208.45,204.0,206.5,14923328,-0.0031378228336954583
2023-10-19 05:30:00,204.0,207.4,202.2,205.8,13192888,-0.003389830508474523
2023-10-20 05:30:00,205.2,205.2,200.9,202.85,22081120,-0.014334305150631721
2023-10-23 05:30:00,202.0,205.15,199.0,199.75,6988219,-0.015282228247473495
2023-10-25 05:30:00,199.0,200.45,197.8,199.5,16817158,-0.0012515644555695093
2023-10-26 05:30:00,198.75,200.0,196.3,198.95,11070090,-0.002756892230576513
2023-10-27 05:30:00,199.25,201.8,199.15,200.95,9995487,0.01005277707966834
2023-10-30 05:30:00,200.95,202.2,197.65,200.85,7679981,-0.0004976362279173197
2023-10-31 05:30:00,201.5,202.95,200.55,202.15,7474770,0.006472491909385258
2023-11-01 05:30:00,202.35,202.35,200.5,200.95,5598615,-0.005936186000494725
2023-11-02 05:30:00,201.75,203.65,200.9,203.1,12924797,0.010699178900223982
2023-11-03 05:30:00,203.4,206.5,203.1,204.4,8684015,0.006400787789266449
2023-11-06 05:30:00,205.0,208.95,204.95,208.2,9804415,0.018590998043052753
2023-11-07 05:30:00,208.2,209.1,205.75,208.0,10730361,-0.0009606147934677622
2023-11-08 05:30:00,209.0,209.6,206.65,207.0,7435543,-0.004807692307692291
2023-11-09 05:30:00,207.3,210.5,206.1,209.8,13777877,0.01352657004830915
2023-11-10 05:30:00,210.5,213.0,209.6,211.15,12066023,0.006434699714013226
2023-11-12 05:30:00,213.6,213.7,211.7,212.0,1008214,0.00402557423632488
2023-11-13 05:30:00,212.0,215.1,210.7,212.3,11352269,0.0014150943396227245
2023-11-15 05:30:00,215.0,215.0,209.8,210.15,19182861,-0.0101271785209609
2023-11-16 05:30:00,206.7,208.85,205.7,207.2,27533260,-0.014037592196050497
2023-11-17 05:30:00,207.7,210.7,206.9,209.5,16705395,0.011100386100386217
2023-11-20 05:30:00,210.1,211.2,208.85,209.3,11156900,-0.0009546539379474694
2023-11-21 05:30:00,210.0,210.15,207.95,208.95,9608081,-0.0016722408026756952
2023-11-22 05:30:00,208.2,212.6,208.2,211.6,13079580,0.01268245991864081
2023-11-23 05:30:00,212.05,213.1,209.25,210.9,11382709,-0.0033081285444234165
2023-11-24 05:30:00,211.3,212.1,209.5,210.45,7250200,-0.002133712660028486
2023-11-28 05:30:00,214.45,214.45,209.5,210.2,15629209,-0.001187930624851563
2023-11-29 05:30:00,210.3,211.45,209.1,211.05,10062023,0.004043767840152368
2023-11-30 05:30:00,210.4,212.8,208.25,208.95,60354322,-0.009950248756218971
2023-12-01 05:30:00,211.5,212.45,209.45,210.2,20719909,0.00598229241445325
2023-12-04 05:30:00,211.7,214.1,211.7,212.9,27914088,0.012844909609895483
2023-12-05 05:30:00,213.7,223.25,211.55,222.3,40709207,0.044152184124002014
2023-12-06 05:30:00,226.0,226.25,222.5,224.4,29544730,0.009446693657219951
2023-12-07 05:30:00,225.0,232.4,224.25,230.0,24534268,0.024955436720142554
2023-12-08 05:30:00,231.8,233.4,226.45,228.6,22206320,-0.006086956521739184
2023-12-11 05:30:00,228.0,232.9,226.55,230.95,19106395,0.010279965004374336
2023-12-12 05:30:00,230.0,233.3,229.5,231.35,14355329,0.0017319766183157004
2023-12-13 05:30:00,231.0,237.5,230.6,236.95,26878281,0.024205748865355536
2023-12-14 05:30:00,237.25,237.6,231.1,232.1,29972018,-0.02046845326018143
2023-12-15 05:30:00,235.0,238.1,227.15,237.35,41341690,0.022619560534252514
2023-12-18 05:30:00,236.9,236.9,231.45,231.85,29051897,-0.02317253001895936
2023-12-19 05:30:00,232.15,234.4,230.85,233.55,12612164,0.007332326935518774
2023-12-20 05:30:00,234.95,235.4,226.2,227.15,20400245,-0.0274031256690217
2023-12-21 05:30:00,224.45,233.2,222.7,232.35,17755207,0.02289236187541266
2023-12-22 05:30:00,233.0,234.2,230.5,231.75,9735375,-0.002582311168495832
2023-12-26 05:30:00,232.0,235.8,231.05,233.35,6772092,0.0069039913700108535
2023-12-27 05:30:00,235.0,235.85,232.5,234.05,10231881,0.0029997857295909203
2023-12-28 05:30:00,235.1,239.95,234.1,239.1,39164340,0.021576586199529846
2023-12-29 05:30:00,237.8,238.25,234.75,237.2,12665999,-0.007946465913843626
2024-01-01 05:30:00,237.9,239.5,236.4,238.25,5952776,0.004426644182124795
2024-01-02 05:30:00,240.0,240.1,236.15,237.85,9128513,-0.0016789087093389554
2024-01-03 05:30:00,236.0,238.7,234.6,237.05,8284439,-0.0033634643682992627
2024-01-04 05:30:00,238.0,243.1,237.05,241.45,19663959,0.01856148491879339
2024-01-05 05:30:00,242.0,245.0,239.3,241.25,16345257,-0.00082832884655204
2024-01-08 05:30:00,242.4,245.25,240.4,242.35,13585746,0.004559585492228013
2024-01-09 05:30:00,242.6,244.65,241.5,242.3,8688409,-0.00020631318341235438
2024-01-10 05:30:00,241.0,242.1,238.0,239.15,16872195,-0.013000412711514642
2024-01-11 05:30:00,240.25,243.1,239.2,241.95,18812468,0.011708132970938756
2024-01-12 05:30:00,242.5,242.65,238.8,239.5,11296498,-0.010126059103120477
2024-01-15 05:30:00,240.4,241.5,237.0,241.15,12597366,0.0068893528183715524
2024-01-16 05:30:00,241.65,242.4,237.7,239.05,7478450,-0.00870827285921627
2024-01-17 05:30:00,238.5,241.2,237.7,239.2,13620300,0.0006274837900019925
2024-01-18 05:30:00,227.25,235.7,226.05,233.45,25522629,-0.024038461538461564
2024-01-19 05:30:00,235.0,236.95,232.4,235.4,20931080,0.008352966373955883
2024-01-20 05:30:00,238.0,240.8,236.5,237.2,6491870,0.007646559048428037
2024-01-23 05:30:00,241.0,246.8,236.25,237.95,27492163,0.003161888701517679
2024-01-24 05:30:00,236.15,247.0,235.0,246.2,28309825,0.03467114940113469
2024-01-25 05:30:00,244.75,248.7,243.1,245.5,20651484,-0.0028432168968317573
2024-01-29 05:30:00,245.45,255.0,245.15,253.95,26181011,0.03441955193482693
2024-01-30 05:30:00,254.0,256.95,251.5,254.1,16031367,0.0005906674542233148
2024-01-31 05:30:00,254.0,260.0,252.4,259.3,34369455,0.020464384100747912
2024-02-01 05:30:00,259.0,270.95,258.3,265.8,29929092,0.025067489394523745
2024-02-02 05:30:00,264.5,281.4,263.95,277.1,33900724,0.04251316779533498
2024-02-05 05:30:00,277.5,289.4,274.9,282.9,27440927,0.020931071815228908
2024-02-06 05:30:00,282.9,282.9,272.3,274.25,29668277,-0.030576175326970545
2024-02-07 05:30:00,272.1,274.4,266.8,267.95,27335466,-0.022971741112123967
2024-02-08 05:30:00,270.8,288.05,270.8,276.2,69776717,0.030789326366859493
2024-02-09 05:30:00,278.6,279.45,269.1,273.0,24496638,-0.011585807385952163
2024-02-12 05:30:00,273.2,276.0,266.25,270.3,19140023,-0.009890109890109855
2024-02-13 05:30:00,270.3,270.85,264.25,270.25,22031847,-0.00018497965223829294
2024-02-14 05:30:00,269.5,275.0,267.0,273.65,13546941,0.012580943570767777
2024-02-15 05:30:00,272.0,283.35,271.35,281.65,25475670,0.029234423533710974
2024-02-16 05:30:00,282.0,282.9,273.3,274.55,25129188,-0.025208592224391868
2024-02-19 05:30:00,275.1,278.3,273.3,276.35,11429901,0.006556182844654979
2024-02-20 05:30:00,278.35,288.75,277.7,287.9,43053543,0.04179482540256907
2024-02-21 05:30:00,287.55,289.45,279.25,280.1,24651085,-0.027092740534907844
2024-02-22 05:30:00,280.1,283.5,273.25,282.6,26793590,0.008925383791503094
2024-02-23 05:30:00,282.55,285.2,279.0,281.95,14313526,-0.00230007077140848
2024-02-26 05:30:00,282.95,291.5,282.05,287.8,31012494,0.02074835963823385
2024-02-27 05:30:00,284.1,293.4,284.1,292.5,36510093,0.016330785267546943
2024-02-28 05:30:00,291.5,293.65,278.4,279.55,18824161,-0.04427350427350418
2024-02-29 05:30:00,279.6,285.0,274.4,282.85,35043015,0.011804686102665052
2024-03-01 05:30:00,285.0,289.4,284.6,287.7,15149735,0.017146897648930404
2024-03-02 05:30:00,289.0,289.8,286.2,286.85,494394,-0.002954466458115923
2024-03-04 05:30:00,288.0,297.0,288.0,294.65,23131460,0.0271919121492068
2024-03-05 05:30:00,292.05,295.45,289.75,295.0,13220556,0.001187849991515444
2024-03-06 05:30:00,290.3,294.9,286.5,293.7,15969436,-0.004406779661016991
2024-03-07 05:30:00,294.0,298.9,291.0,292.65,14908694,-0.003575076608784533
2024-03-11 05:30:00,288.4,291.95,284.4,285.55,19020659,-0.024261062702887304
2024-03-12 05:30:00,284.9,288.65,282.75,285.15,17906155,-0.0014008054631414746
2024-03-13 05:30:00,283.3,283.9,261.8,264.3,39389523,-0.07311941083640183
2024-03-14 05:30:00,264.05,268.4,260.7,266.35,26005940,0.007756337495270493
