date,open,high,low,close,volume,daily_return
2023-10-03 05:30:00,5065.0,5073.0,4997.1,5016.45,464531,
2023-10-04 05:30:00,5011.25,5019.2,4903.05,4918.6,256544,-0.019505825833009305
2023-10-05 05:30:00,4935.0,5039.3,4925.1,5011.05,657876,0.018795998861464547
2023-10-06 05:30:00,5120.0,5120.0,4997.5,5014.6,279352,0.0007084343600642917
2023-10-09 05:30:00,4957.05,5068.7,4957.05,5007.3,244083,-0.0014557492123000726
2023-10-10 05:30:00,5007.3,5064.0,5002.2,5037.5,307502,0.006031194456094013
2023-10-11 05:30:00,5055.0,5095.0,5050.0,5064.4,575680,0.0053399503722084685
2023-10-12 05:30:00,5085.0,5151.0,5051.1,5106.6,472168,0.008332675144143487
2023-10-13 05:30:00,5089.95,5123.45,5040.0,5052.4,387366,-0.010613715583754457
2023-10-16 05:30:00,5035.0,5099.4,5032.0,5076.7,158560,0.004809595439791092
2023-10-17 05:30:00,5083.0,5150.0,5070.0,5141.25,318565,0.0127149526267063
2023-10-18 05:30:00,5150.0,5198.75,5125.65,5137.35,360985,-0.000758570386579116
2023-10-19 05:30:00,5300.0,5495.0,5245.0,5482.6,2838352,0.06720390862993564
2023-10-20 05:30:00,5450.0,5510.0,5436.9,5489.3,763919,0.0012220479334621448
2023-10-23 05:30:00,5453.05,5493.4,5395.05,5405.4,451167,-0.015284280327182098
2023-10-25 05:30:00,5385.0,5423.95,5332.3,5347.3,620266,-0.010748510748510687
2023-10-26 05:30:00,5333.85,5347.45,5236.0,5259.35,746266,-0.01644755297065803
2023-10-27 05:30:00,5265.0,5423.7,5265.0,5373.55,843465,0.02171370986909027
2023-10-30 05:30:00,5388.0,5397.75,5275.0,5308.9,360967,-0.012031152590001093
2023-10-31 05:30:00,5340.0,5366.15,5292.6,5314.05,400987,0.000970069129198281
2023-11-01 05:30:00,5305.0,5449.5,5305.0,5344.35,619765,0.005701865808564133
2023-11-02 05:30:00,5383.9,5392.85,5285.0,5318.4,304362,-0.00485559516124523
2023-11-03 05:30:00,5357.0,5377.05,5316.6,5368.95,448715,0.009504738267148038
2023-11-06 05:30:00,5380.0,5427.5,5377.1,5406.85,394137,0.007059108391771263
2023-11-07 05:30:00,5406.85,5445.0,5405.3,5419.0,202689,0.0022471494493097044
2023-11-08 05:30:00,5434.0,5435.25,5381.25,5397.6,202145,-0.003949068093744179
2023-11-09 05:30:00,5421.8,5455.0,5382.15,5418.9,232773,0.003946198310359916
2023-11-10 05:30:00,5409.95,5427.05,5349.05,5392.05,149325,-0.00495488014172607
2023-11-12 05:30:00,5425.0,5455.0,5358.6,5442.55,29055,0.009365640155414079
2023-11-13 05:30:00,5435.0,5439.8,5395.55,5425.2,93497,-0.003187843933450396
2023-11-15 05:30:00,5525.0,5555.0,5461.1,5536.7,640468,0.02055223770552228
2023-11-16 05:30:00,5520.0,5583.3,5496.95,5550.9,324712,0.002564704607437518
2023-11-17 05:30:00,5556.9,5674.95,5479.35,5631.5,531539,0.014520167900700764
2023-11-20 05:30:00,5610.05,5675.95,5606.0,5650.15,679425,0.00331172866909335
2023-11-21 05:30:00,5640.5,5707.35,5640.0,5685.95,746193,0.006336114970399098
2023-11-22 05:30:00,5680.0,5764.9,5661.3,5751.55,497403,0.011537210140785792
2023-11-23 05:30:00,5800.0,5945.0,5783.1,5925.25,1118718,0.030200554633098786
2023-11-24 05:30:00,5940.0,5960.0,5900.0,5930.3,297211,0.0008522847137251155
2023-11-28 05:30:00,5969.8,6039.65,5912.0,5998.15,380535,0.0114412424329291
2023-11-29 05:30:00,6010.0,6096.4,5973.3,6069.95,406974,0.011970357526904118
2023-11-30 05:30:00,6095.0,6128.9,6031.0,6090.55,501833,0.0033937676587121324
2023-12-01 05:30:00,6050.0,6090.0,6003.3,6046.05,439023,-0.007306400899754539
2023-12-04 05:30:00,6090.55,6217.7,6087.45,6201.7,359158,0.02574408084617219
2023-12-05 05:30:00,6194.05,6194.05,6111.1,6140.1,565826,-0.009932760372155958
2023-12-06 05:30:00,6089.05,6096.0,5987.85,6069.95,699201,-0.011424895360010456
2023-12-07 05:30:00,6069.95,6154.45,6063.1,6093.6,427407,0.0038962429674049837
2023-12-08 05:30:00,6115.0,6120.0,6048.05,6075.7,233266,-0.0029375082053302304
2023-12-11 05:30:00,6085.0,6145.0,6018.3,6138.4,175955,0.010319798541731817
2023-12-12 05:30:00,6164.0,6299.95,6149.95,6254.2,810900,0.018864850775446307
2023-12-13 05:30:00,6259.9,6329.0,6224.35,6316.1,373989,0.009897348981484422
2023-12-14 05:30:00,6325.0,6360.0,6284.2,6334.85,419212,0.0029686040436345262
2023-12-15 05:30:00,6368.95,6402.1,6256.15,6275.2,553522,-0.009416166128637715
2023-12-18 05:30:00,6275.2,6486.75,6262.15,6465.7,851061,0.030357598164201915
2023-12-19 05:30:00,6470.0,6470.25,6395.9,6419.0,377109,-0.007222729170855424
2023-12-20 05:30:00,6434.0,6466.0,6350.0,6364.45,385863,-0.008498208443682875
2023-12-21 05:30:00,6333.2,6345.0,6232.0,6246.35,397717,-0.018556198885999464
2023-12-22 05:30:00,6288.0,6395.0,6264.25,6372.1,237213,0.0201317569460564
2023-12-26 05:30:00,6379.85,6475.0,6370.05,6464.55,302139,0.014508560757050315
2023-12-27 05:30:00,6470.0,6740.25,6465.2,6709.65,1017894,0.03791447200501197
