date,open,high,low,close,volume,daily_return
2023-10-03 05:30:00,189.3,189.3,183.65,184.6,22118500,
2023-10-04 05:30:00,184.45,184.6,182.1,182.75,9360058,-0.010021668472372625
2023-10-05 05:30:00,181.25,184.0,181.0,182.2,11128340,-0.003009575923392682
2023-10-06 05:30:00,183.5,183.5,180.6,181.45,5759904,-0.004116355653128401
2023-10-09 05:30:00,182.9,184.7,181.25,181.7,14622727,0.0013777900248002073
2023-10-10 05:30:00,182.3,184.5,182.05,183.5,11819690,0.009906439185470628
2023-10-11 05:30:00,184.4,184.7,182.75,183.25,8499601,-0.0013623978201634523
2023-10-12 05:30:00,183.2,184.85,183.0,184.45,8677885,0.0065484311050476585
2023-10-13 05:30:00,184.5,186.25,184.05,184.9,7435899,0.0024396855516402027
2023-10-16 05:30:00,187.95,188.2,186.25,186.55,12376549,0.008923742563547998
2023-10-17 05:30:00,187.0,187.05,185.55,186.25,4381065,-0.0016081479496113937
2023-10-18 05:30:00,188.0,188.05,186.05,186.95,10181113,0.0037583892617449877
2023-10-19 05:30:00,186.0,186.65,185.05,186.3,9148124,-0.0034768654720512826
2023-10-20 05:30:00,187.0,187.3,185.15,186.2,7912216,-0.0005367686527107951
2023-10-23 05:30:00,185.95,185.95,184.2,184.85,4723090,-0.007250268528463999
2023-10-25 05:30:00,184.85,185.85,183.0,184.35,6812004,-0.002704895861509349
2023-10-26 05:30:00,183.5,184.15,179.9,180.9,8474867,-0.018714401952807047
2023-10-27 05:30:00,181.0,185.8,180.3,184.75,6422123,0.021282476506357062
2023-10-30 05:30:00,185.0,189.2,184.6,188.8,7352638,0.021921515561569738
2023-10-31 05:30:00,189.2,189.8,184.2,186.15,9404675,-0.014036016949152574
2023-11-01 05:30:00,186.15,188.8,185.05,186.7,9167869,0.002954606500134238
2023-11-02 05:30:00,187.0,187.65,185.75,186.2,11471209,-0.0026780931976432276
2023-11-03 05:30:00,186.65,190.65,185.8,190.0,7464912,0.020408163265306145
2023-11-06 05:30:00,190.2,194.2,189.55,193.3,8962124,0.0173684210526317
2023-11-07 05:30:00,193.4,198.0,192.35,193.2,13921916,-0.0005173305742370848
2023-11-08 05:30:00,193.7,196.55,192.3,195.35,10186886,0.011128364389233925
2023-11-09 05:30:00,196.5,196.7,192.2,192.7,5303833,-0.013565395444074757
2023-11-10 05:30:00,192.7,196.5,192.7,195.9,6025889,0.01660612350804369
2023-11-12 05:30:00,198.8,198.8,195.9,196.75,2988611,0.004338948443083135
2023-11-13 05:30:00,195.9,197.3,194.1,195.8,11181086,-0.004828462515883092
2023-11-15 05:30:00,198.5,203.0,197.65,199.5,19769385,0.018896833503575072
2023-11-16 05:30:00,202.5,203.4,201.0,201.8,18629240,0.011528822055137944
2023-11-17 05:30:00,200.85,201.25,195.55,196.35,13199928,-0.027006937561942612
2023-11-20 05:30:00,198.0,198.5,197.0,197.85,6423265,0.0076394194041253805
2023-11-21 05:30:00,193.0,193.95,191.0,191.2,10720353,-0.033611321708365005
2023-11-22 05:30:00,191.2,191.85,189.75,191.0,7538825,-0.0010460251046024993
2023-11-23 05:30:00,191.0,191.75,189.6,190.65,6541617,-0.0018324607329842646
2023-11-24 05:30:00,190.85,191.85,188.15,188.85,5751331,-0.009441384736428082
2023-11-28 05:30:00,188.85,194.45,188.4,193.95,9277764,0.02700555996822862
2023-11-29 05:30:00,195.5,195.5,191.7,192.0,8791333,-0.010054137664346374
2023-11-30 05:30:00,192.65,195.65,192.05,194.95,14965403,0.015364583333333348
2023-12-01 05:30:00,195.25,198.25,194.25,194.55,9935740,-0.002051808155937307
2023-12-04 05:30:00,196.5,205.9,196.05,202.05,28615290,0.03855050115651504
2023-12-05 05:30:00,202.2,203.95,199.15,202.05,14557746,0.0
2023-12-06 05:30:00,203.75,203.75,199.1,201.95,12662213,-0.0004949269982679194
2023-12-07 05:30:00,200.9,200.9,196.05,198.9,16425880,-0.015102748205001126
2023-12-08 05:30:00,199.85,200.3,194.1,195.95,10414387,-0.014831573655103125
2023-12-11 05:30:00,197.05,200.85,194.25,197.8,10108266,0.009441183975503975
2023-12-12 05:30:00,196.95,197.8,194.55,195.4,10719911,-0.01213346814964611
2023-12-13 05:30:00,195.4,195.4,192.05,193.15,10892122,-0.011514841351074723
2023-12-14 05:30:00,195.9,196.3,193.25,195.95,15257294,0.01449650530675628
2023-12-15 05:30:00,197.25,201.95,196.85,201.05,22863981,0.026027047716254303
2023-12-18 05:30:00,201.05,201.65,197.35,199.0,8061011,-0.010196468540164205
2023-12-19 05:30:00,202.0,203.55,199.3,200.3,16739742,0.006532663316582976
2023-12-20 05:30:00,201.75,212.0,200.95,203.2,57762576,0.014478282576135593
2023-12-21 05:30:00,203.95,206.75,201.2,202.65,22823936,-0.0027066929133857665
2023-12-22 05:30:00,204.0,204.5,201.8,203.95,9910694,0.006415001233653905
2023-12-26 05:30:00,204.5,208.5,203.65,207.35,17052969,0.016670752635449926
2023-12-27 05:30:00,209.5,209.9,204.5,205.55,20361303,-0.008680974198215452
2023-12-28 05:30:00,206.5,208.9,205.35,208.3,22010872,0.013378739965945075
2023-12-29 05:30:00,208.0,208.0,204.25,205.05,12171663,-0.015602496399423904
2024-01-01 05:30:00,206.0,207.1,204.75,205.35,4820168,0.001463057790782596
2024-01-02 05:30:00,205.35,210.75,203.65,207.05,21141219,0.008278548819089515
2024-01-03 05:30:00,205.5,210.45,204.5,208.25,11650902,0.0057957015213716545
2024-01-04 05:30:00,210.5,215.4,209.3,214.65,31054419,0.030732292917166948
2024-01-05 05:30:00,215.45,217.5,213.05,216.45,20743811,0.008385744234800763
2024-01-08 05:30:00,218.0,220.8,217.1,217.95,19310595,0.006930006930006893
2024-01-09 05:30:00,221.0,221.45,215.95,216.65,11951525,-0.005964670796054117
2024-01-10 05:30:00,215.0,215.0,209.7,212.1,16500666,-0.021001615508885352
2024-01-11 05:30:00,214.0,214.0,210.85,211.85,12586419,-0.0011786892975012009
2024-01-12 05:30:00,213.8,224.75,212.35,223.4,39228118,0.054519707340099144
2024-01-15 05:30:00,228.5,235.45,224.65,233.5,57884916,0.04521038495971341
2024-01-16 05:30:00,234.95,238.95,231.1,235.1,34505065,0.006852248394004334
2024-01-17 05:30:00,232.2,237.25,230.7,232.05,26010955,-0.012973202892386126
2024-01-18 05:30:00,230.05,234.5,224.65,233.55,19232183,0.006464124111182912
2024-01-19 05:30:00,236.0,242.55,235.0,242.05,26391844,0.03639477627916943
2024-01-20 05:30:00,243.0,245.45,240.45,242.05,15133785,0.0
2024-01-23 05:30:00,245.0,245.65,228.0,229.9,20282617,-0.05019624044618887
2024-01-24 05:30:00,231.0,235.0,228.1,234.35,14458601,0.019356241844280087
2024-01-25 05:30:00,235.0,237.5,232.8,234.05,18291957,-0.0012801365478983806
2024-01-29 05:30:00,241.0,254.95,239.1,252.5,54127939,0.07882930997650073
2024-01-30 05:30:00,256.5,263.3,248.65,249.2,51491099,-0.013069306930693081
2024-01-31 05:30:00,250.45,254.35,246.3,252.25,33293192,0.012239165329053003
2024-02-01 05:30:00,254.65,254.65,245.45,247.65,29758133,-0.018235877106045573
2024-02-02 05:30:00,250.0,260.0,249.0,257.25,30482663,0.03876438522107817
2024-02-05 05:30:00,260.05,268.05,255.1,262.95,34001868,0.02215743440233231
2024-02-06 05:30:00,265.35,273.4,260.2,272.3,36708949,0.035558090891804506
2024-02-07 05:30:00,275.0,275.65,267.55,271.9,23756939,-0.0014689680499450075
2024-02-08 05:30:00,273.05,275.65,269.1,273.15,25252940,0.0045972784111805165
2024-02-09 05:30:00,275.0,275.65,259.15,267.55,26743792,-0.02050155592165459
2024-02-12 05:30:00,261.95,266.6,256.8,257.9,30906374,-0.0360680246682864
2024-02-13 05:30:00,258.0,262.4,254.7,259.5,20711842,0.006203955021326202
2024-02-14 05:30:00,258.0,269.65,256.0,268.85,36168962,0.03603082851637773
2024-02-15 05:30:00,271.65,279.85,269.0,277.3,32831246,0.0314301655198066
2024-02-16 05:30:00,275.15,278.0,270.35,274.7,27044984,-0.009376126938334006
2024-02-19 05:30:00,274.7,279.05,272.4,274.65,15322964,-0.0001820167455406363
2024-02-20 05:30:00,274.8,281.15,274.05,276.6,18968785,0.007099945385035555
2024-02-21 05:30:00,276.0,281.1,271.6,272.95,16340579,-0.013195950831525805
2024-02-22 05:30:00,273.85,276.0,268.5,274.7,16791453,0.006411430664956974
2024-02-23 05:30:00,274.9,276.0,271.1,272.2,9464646,-0.009100837277029483
2024-02-26 05:30:00,271.9,271.9,267.8,269.85,8661999,-0.008633357825128418
2024-02-27 05:30:00,268.05,270.2,264.95,269.35,19582774,-0.0018528812303131303
2024-02-28 05:30:00,270.0,270.3,264.6,265.75,9118196,-0.013365509560052113
2024-02-29 05:30:00,265.0,266.35,261.5,264.6,17179832,-0.004327375352775054
2024-03-01 05:30:00,266.5,272.95,266.5,270.55,12930057,0.022486772486772333
2024-03-02 05:30:00,272.0,272.9,271.35,271.9,864693,0.004989835520236463
2024-03-04 05:30:00,272.75,280.55,272.5,279.2,22280353,0.026848105921294607
2024-03-05 05:30:00,280.0,284.95,276.65,283.75,18544484,0.01629656160458448
2024-03-06 05:30:00,284.3,284.3,273.55,280.25,16807149,-0.012334801762114544
2024-03-07 05:30:00,280.25,284.35,277.25,278.1,11386963,-0.007671721677073973
2024-03-11 05:30:00,278.1,280.5,273.2,274.0,10684598,-0.014742898238043978
2024-03-12 05:30:00,274.0,275.6,269.05,270.4,13780189,-0.013138686131386912
2024-03-13 05:30:00,270.8,271.0,252.75,255.35,20079496,-0.05565828402366857
2024-03-14 05:30:00,252.5,264.35,251.2,263.25,21404057,0.030937928333659714
2024-03-15 05:30:00,263.95,266.4,248.9,258.75,34961065,-0.017094017094017144
2024-03-18 05:30:00,258.95,263.05,257.55,261.6,9246173,0.011014492753623317
2024-03-19 05:30:00,262.0,263.95,256.65,259.25,8758348,-0.008983180428134618
2024-03-20 05:30:00,259.45,264.6,257.2,263.85,10484778,0.017743490838958653
2024-03-21 05:30:00,264.7,266.95,262.35,262.95,12163200,-0.0034110289937465677
2024-03-22 05:30:00,262.95,265.25,258.45,263.25,13025089,0.0011409013120364797
2024-03-26 05:30:00,261.65,267.9,259.3,265.5,10830926,0.008547008547008517
2024-03-27 05:30:00,265.0,268.2,259.65,261.75,28563001,-0.01412429378531077
2024-03-28 05:30:00,262.45,271.0,261.95,268.05,18888942,0.024068767908309585
2024-04-01 05:30:00,268.05,271.5,267.8,269.9,6440401,0.006901697444506416
2024-04-02 05:30:00,270.1,274.05,269.45,272.5,14439120,0.009633197480548361
2024-04-03 05:30:00,275.05,279.0,273.85,275.35,22600929,0.01045871559633027
2024-04-04 05:30:00,278.65,278.65,265.35,269.0,24624383,-0.023061558017069217
2024-04-05 05:30:00,267.85,271.9,266.5,267.95,13029904,-0.003903345724907137
2024-04-08 05:30:00,267.55,272.0,266.6,270.4,13011300,0.009143496921067307
2024-04-09 05:30:00,270.0,272.65,268.0,268.95,13173933,-0.005362426035502965
2024-04-10 05:30:00,269.95,273.2,269.15,272.0,11137195,0.01134039784346541
2024-04-12 05:30:00,271.9,272.5,265.0,265.7,21894584,-0.02316176470588238
2024-04-15 05:30:00,269.1,282.95,267.1,279.85,75063828,0.05325555137372984
2024-04-16 05:30:00,277.0,292.55,275.25,283.15,79082544,0.011792031445416962
2024-04-18 05:30:00,286.0,287.7,273.35,274.15,34136482,-0.03178527282359178
2024-04-19 05:30:00,276.75,280.8,274.1,275.25,32658724,0.004012401969724744
2024-04-22 05:30:00,277.3,278.0,273.75,276.8,14184019,0.005631244323342388
2024-04-23 05:30:00,276.85,278.75,275.55,276.8,8799147,0.0
2024-04-24 05:30:00,277.6,280.4,276.3,279.35,9253985,0.009212427745664886
2024-04-25 05:30:00,279.35,282.6,278.0,281.95,17050557,0.009307320565598687
2024-04-26 05:30:00,283.0,286.15,282.2,282.9,11070290,0.003369391736123495
2024-04-29 05:30:00,283.95,285.25,282.15,283.2,8952420,0.0010604453870626251
2024-04-30 05:30:00,284.5,286.35,281.45,282.85,10658906,-0.0012358757062145287
2024-05-02 05:30:00,281.0,284.6,279.05,282.8,15677336,-0.00017677214071065706
2024-05-03 05:30:00,284.0,292.95,284.0,286.1,28913016,0.011669024045261711
2024-05-06 05:30:00,288.7,288.75,275.25,282.15,15491865,-0.013806361412093793
2024-05-07 05:30:00,283.9,285.0,272.0,273.6,13179001,-0.030303030303030165
2024-05-08 05:30:00,273.5,280.25,272.35,276.85,12797721,0.011878654970760127
2024-05-09 05:30:00,277.25,278.55,263.2,265.25,14869187,-0.04189994581903567
2024-05-10 05:30:00,267.0,271.2,264.45,270.25,9530738,0.018850141376060225
2024-05-13 05:30:00,271.9,271.9,262.05,266.9,7163239,-0.012395929694727137
2024-05-14 05:30:00,267.95,274.65,266.45,272.9,9123849,0.022480329711502378
2024-05-15 05:30:00,274.5,276.0,272.5,273.45,6368662,0.0020153902528399215
2024-05-16 05:30:00,276.0,279.35,273.8,277.65,23757779,0.015359297860669141
